Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
196.jpg,resultado_196.jpg,PROCESS AIRSYEADER,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,PRV,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,VBL-55-327A,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,-423,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ZIT,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-423A-,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55633,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,6528248,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,24,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-225',Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,6,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FROM BNR TRAIN 2 AEROBIC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,FROM BNR TRAIN 2,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,I,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,AEROBIC ZONE 1,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,"SWING B, CONT.",Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,HUH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,IH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,SHEETNO,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,CONIRS,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,TEO,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,OF 229,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,SHEET NO,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,28,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,EO,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,TNCC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,J,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,!,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,'ENGINEER_,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ENGINEER,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,),Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,CONTRO,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,ENGINEER _,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,TEMP,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,SP,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,YQE,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,YAH,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,555-32,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,1-327,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-323,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,4240,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,4241,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,225,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-225655-225,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-222,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,TO BNR TRAIN ? AEROBIC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,423,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,OSC &,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-424A,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,SC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-423A,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,424,Não cadastrado,Não cadastrado,Desconhecido
